id,youtube_id,zenodo_id,title,doi,zenodo_link,youtube_link,audio_extracted
1,jZFm_UOnxv0,15188145,SPANDA THE DOCTRINE OF VIBRATION,10.5281/zenodo.15188145,https://zenodo.org/record/15188145,https://www.youtube.com/watch?v=jZFm_UOnxv0,False
2,yKxqcMJKX-0,15188208,How do we stay Authentic to Ourselves in practice while honoring tradition?,10.5281/zenodo.15188208,https://zenodo.org/record/15188208,https://www.youtube.com/watch?v=yKxqcMJKX-0,False
3,21y_N7u1R6s,15188210,The Importance of Doubts - Excerpts from Upayas Course  | by Āchārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15188210,https://zenodo.org/record/15188210,https://www.youtube.com/watch?v=21y_N7u1R6s,False
4,r_iPuZCBFcQ,15188214,On the Mind,10.5281/zenodo.15188214,https://zenodo.org/record/15188214,https://www.youtube.com/watch?v=r_iPuZCBFcQ,False
5,_5c_oKrqxXs,15188218,"Love, Kindness and Benevolence",10.5281/zenodo.15188218,https://zenodo.org/record/15188218,https://www.youtube.com/watch?v=_5c_oKrqxXs,False
6,_jx6Og8TtfI,15188226,Reflection is necessary before choosing the path,10.5281/zenodo.15188226,https://zenodo.org/record/15188226,https://www.youtube.com/watch?v=_jx6Og8TtfI,False
7,57WKvNYWSAA,15188241,Upayas - The Means To Achieve Divine Union | A Course by Āchārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15188241,https://zenodo.org/record/15188241,https://www.youtube.com/watch?v=57WKvNYWSAA,False
8,YO1yCJ6w5Zo,15188251,Ritual vs. Spontaneity: Intention in your Sadhana,10.5281/zenodo.15188251,https://zenodo.org/record/15188251,https://www.youtube.com/watch?v=YO1yCJ6w5Zo,False
9,bnn__Gik9kU,15188258,Worship Of Lord Siva,10.5281/zenodo.15188258,https://zenodo.org/record/15188258,https://www.youtube.com/watch?v=bnn__Gik9kU,False
10,yIB3WsfSTLc,15188263,Vow Of Student,10.5281/zenodo.15188263,https://zenodo.org/record/15188263,https://www.youtube.com/watch?v=yIB3WsfSTLc,False
11,tFGCOkhpbpM,15188627,"Re-engaging Charvaka Materialism”, | Dr.  Sachchidanand Mishra",10.5281/zenodo.15188627,https://zenodo.org/record/15188627,https://www.youtube.com/watch?v=tFGCOkhpbpM
12,nwQi8nLbqcU,15188744,"Panpsychism Need Pratice, Abhinava on Sattarka in the Tantrasara by Dr. Chakravarthi Ram Prasad",10.5281/zenodo.15188744,https://zenodo.org/record/15188744,https://www.youtube.com/watch?v=nwQi8nLbqcU
13,Id77a7oce-o,15188758,To be a Student,10.5281/zenodo.15188758,https://zenodo.org/record/15188758,https://www.youtube.com/watch?v=Id77a7oce-o
14,xbtVk6Qb1GA,15188763,Āchārya vs Professor,10.5281/zenodo.15188763,https://zenodo.org/record/15188763,https://www.youtube.com/watch?v=xbtVk6Qb1GA
15,j-VuxB0P-cE,15188765,The Divine Feminine,10.5281/zenodo.15188765,https://zenodo.org/record/15188765,https://www.youtube.com/watch?v=j-VuxB0P-cE
16,lIkBxkg-OqI,15188771,A Brief Explanation Of the Vimarsha Slogan By Ācārya Dr. Sthaneshwar Timalsina -  ऋतं च सत्यं च,10.5281/zenodo.15188771,https://zenodo.org/record/15188771,https://www.youtube.com/watch?v=lIkBxkg-OqI
17,v4-sJlZ6_Dk,15188841,The Inseparability Of Shiva & Shakti - A Talk On Yuganaddhastava,10.5281/zenodo.15188841,https://zenodo.org/record/15188841,https://www.youtube.com/watch?v=v4-sJlZ6_Dk
18,cdvb7eMGy44,15188852,Vimarsha: A Journey from Inquiry to Transformation,10.5281/zenodo.15188852,https://zenodo.org/record/15188852,https://www.youtube.com/watch?v=cdvb7eMGy44
19,40bCpeiyufw,15189006,Who Quests for the Self? | Dr. Geoff Ashton,10.5281/zenodo.15189006,https://zenodo.org/record/15189006,https://www.youtube.com/watch?v=40bCpeiyufw
20,EYGQd1Wd9Mo,15189016,Śiva Rātri: How to worship Śiva Q/A,10.5281/zenodo.15189016,https://zenodo.org/record/15189016,https://www.youtube.com/watch?v=EYGQd1Wd9Mo
21,Qv8xUN0nZWY,15198328,Where do the Malas come from? -  Excerpts from Upayas Course  | by Āchārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15198328,https://zenodo.org/record/15198328,https://www.youtube.com/watch?v=Qv8xUN0nZWY
22,z0zToe4H0uU,15198337,Praise to Śiva,10.5281/zenodo.15198337,https://zenodo.org/record/15198337,https://www.youtube.com/watch?v=z0zToe4H0uU
23,vrGm6m8wpYw,15198343,Getting Ready for Siva Ratri,10.5281/zenodo.15198343,https://zenodo.org/record/15198343,https://www.youtube.com/watch?v=vrGm6m8wpYw
24,hAQGVcgTz64,15198400,Getting ready for Shivaratri,10.5281/zenodo.15198400,https://zenodo.org/record/15198400,https://www.youtube.com/watch?v=hAQGVcgTz64
25,7zBix_FAHJM,15198417,About the nature of puranas - Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15198417,https://zenodo.org/record/15198417,https://www.youtube.com/watch?v=7zBix_FAHJM
26,5e489B22h3w,15198463,What is Shiva? - explained by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15198463,https://zenodo.org/record/15198463,https://www.youtube.com/watch?v=5e489B22h3w
27,I07V5d9nhi8,15198478,What is Kośa? - explained by Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15198478,https://zenodo.org/record/15198478,https://www.youtube.com/watch?v=I07V5d9nhi8
28,EH5JGzdS9A8,15198486,Do We Have An Essential Role To Play In This Cosmic Game? By Āchārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15198486,https://zenodo.org/record/15198486,https://www.youtube.com/watch?v=EH5JGzdS9A8
